x,t,u
0.18181819,0.47474748,0.34146196
0.18181819,0.4848485,0.33815002
0.18181819,0.4949495,0.3348704
0.18181819,0.50505054,0.33162224
0.18181819,0.5151515,0.32840547
0.18181819,0.5252525,0.32521957
0.18181819,0.53535354,0.32206392
0.18181819,0.5454545,0.31893837
0.18181819,0.5555556,0.31584227
0.18181819,0.56565654,0.31277528
0.18181819,0.57575756,0.30973697
0.18181819,0.5858586,0.30672693
0.18181819,0.5959596,0.30374467
0.18181819,0.6060606,0.30078995
0.18181819,0.6161616,0.29786235
0.18181819,0.62626266,0.29496127
0.18181819,0.6363636,0.2920865
0.18181819,0.64646465,0.28923786
0.18181819,0.65656567,0.2864146
0.18181819,0.6666666,0.2836167
0.18181819,0.6767677,0.28084353
0.18181819,0.68686867,0.2780949
0.18181819,0.6969697,0.2753707
0.18181819,0.7070707,0.27266997
0.18181819,0.7171717,0.26999304
0.18181819,0.72727275,0.2673392
0.18181819,0.7373737,0.26470843
0.18181819,0.7474748,0.26210016
0.18181819,0.75757575,0.25951436
0.18181819,0.7676768,0.25695044
0.18181819,0.7777778,0.2544082
0.18181819,0.78787875,0.25188756
0.18181819,0.79797983,0.24938804
0.18181819,0.8080808,0.24690928
0.18181819,0.8181818,0.24445133
0.18181819,0.82828283,0.24201371
0.18181819,0.83838385,0.23959619
0.18181819,0.8484849,0.23719859
0.18181819,0.85858583,0.23482071
0.18181819,0.86868685,0.23246212
0.18181819,0.8787879,0.23012269
0.18181819,0.8888889,0.22780246
0.18181819,0.8989899,0.2255007
0.18181819,0.9090909,0.22321732
0.18181819,0.9191919,0.22095244
0.18181819,0.9292929,0.21870564
0.18181819,0.93939394,0.21647653
0.18181819,0.94949496,0.21426536
0.18181819,0.959596,0.2120714
0.18181819,0.969697,0.20989496
0.18181819,0.97979796,0.2077355
0.18181819,0.989899,0.20559292
0.18181819,1.0,0.20346698
0.1919192,0.0,0.56900406
0.1919192,0.01010101,0.56342334
0.1919192,0.02020202,0.55788684
0.1919192,0.030303031,0.55239576
0.1919192,0.04040404,0.5469512
0.1919192,0.05050505,0.5415542
0.1919192,0.060606062,0.53620565
0.1919192,0.07070707,0.530906
0.1919192,0.08080808,0.5256563
0.1919192,0.09090909,0.5204567
0.1919192,0.1010101,0.5153073
0.1919192,0.11111111,0.51020885
0.1919192,0.121212125,0.50516105
0.1919192,0.13131313,0.50016433
0.1919192,0.14141414,0.49521852
0.1919192,0.15151516,0.49032313
0.1919192,0.16161616,0.4854786
0.1919192,0.17171717,0.48068428
0.1919192,0.18181819,0.47594002
0.1919192,0.1919192,0.47124565
0.1919192,0.2020202,0.46660072
0.1919192,0.21212122,0.46200484
0.1919192,0.22222222,0.4574574
0.1919192,0.23232323,0.4529581
0.1919192,0.24242425,0.44850647
0.1919192,0.25252524,0.44410193
0.1919192,0.26262626,0.43974403
0.1919192,0.27272728,0.43543208
0.1919192,0.28282827,0.4311658
0.1919192,0.2929293,0.42694443
0.1919192,0.3030303,0.42276752
0.1919192,0.3131313,0.41863444
0.1919192,0.32323232,0.41454446
0.1919192,0.33333334,0.4104973
0.1919192,0.34343433,0.40649217
0.1919192,0.35353535,0.40252864
0.1919192,0.36363637,0.398606
0.1919192,0.37373737,0.3947237
0.1919192,0.3838384,0.39088118
0.1919192,0.3939394,0.38707793
0.1919192,0.4040404,0.38331336
0.1919192,0.41414142,0.37958682
0.1919192,0.42424244,0.37589788
0.1919192,0.43434343,0.37224594
0.1919192,0.44444445,0.36863053
0.1919192,0.45454547,0.36505106
0.1919192,0.46464646,0.361507
0.1919192,0.47474748,0.3579977
0.1919192,0.4848485,0.3545231
0.1919192,0.4949495,0.35108212
0.1919192,0.50505054,0.34767467
0.1919192,0.5151515,0.3443002
0.1919192,0.5252525,0.340958
0.1919192,0.53535354,0.337648
0.1919192,0.5454545,0.33436948
0.1919192,0.5555556,0.33112168
0.1919192,0.56565654,0.32790476
0.1919192,0.57575756,0.32471806
0.1919192,0.5858586,0.32156104
0.1919192,0.5959596,0.31843323
0.1919192,0.6060606,0.31533444
0.1919192,0.6161616,0.31226408
0.1919192,0.62626266,0.3092218
0.1919192,0.6363636,0.30620736
0.1919192,0.64646465,0.3032201
0.1919192,0.65656567,0.30025983
0.1919192,0.6666666,0.29732618
0.1919192,0.6767677,0.29441875
0.1919192,0.68686867,0.29153693
0.1919192,0.6969697,0.28868088
0.1919192,0.7070707,0.28584984
0.1919192,0.7171717,0.2830438
0.1919192,0.72727275,0.2802622
0.1919192,0.7373737,0.2775049
0.1919192,0.7474748,0.27477112
0.1919192,0.75757575,0.2720611
0.1919192,0.7676768,0.2693742
0.1919192,0.7777778,0.2667104
0.1919192,0.78787875,0.26406908
0.1919192,0.79797983,0.26145035
